Resume_Text,Job_Title,Job_Fit,input_text
"Business Analyst with over 6 years of experience working across various industries. Skilled in BRD, FRD, UML, Agile, Scrum, stakeholder management, and also familiar with JIRA, confluence, gap analysis, process flows. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases. Built and deployed an end-to-end predictive model for retail sales forecasting.",ML Engineer,Unfit,"Business Analyst with over 6 years of experience working across various industries. Skilled in BRD, FRD, UML, Agile, Scrum, stakeholder management, and also familiar with JIRA, confluence, gap analysis, process flows. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Automated CI/CD pipelines and ensured zero downtime during production releases. Built and deployed an end-to-end predictive model for retail sales forecasting. [SEP] ML Engineer"
"Data Scientist with over 3 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Trained transformer-based models for text classification achieving 93% accuracy. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases.",Data Scientist,Fit,"Data Scientist with over 3 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. Trained transformer-based models for text classification achieving 93% accuracy. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Automated CI/CD pipelines and ensured zero downtime during production releases. [SEP] Data Scientist"
"AI Researcher with over 4 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Led a project to migrate on-prem systems to AWS cloud infrastructure.",Backend Developer,Unfit,"AI Researcher with over 4 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Led a project to migrate on-prem systems to AWS cloud infrastructure. [SEP] Backend Developer"
"Data Scientist with over 5 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. Led a project to migrate on-prem systems to AWS cloud infrastructure.",Cybersecurity Analyst,Unfit,"Data Scientist with over 5 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Performed anomaly detection on large-scale time series IoT sensor data. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. Redesigned user interface for customer portal improving usability by 40%. Designed and implemented a secure network segmentation for financial services client. Led a project to migrate on-prem systems to AWS cloud infrastructure. [SEP] Cybersecurity Analyst"
"AI Researcher with over 2 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Built and deployed an end-to-end predictive model for retail sales forecasting. Developed dashboards to monitor key business KPIs and provided actionable insights.",Data Scientist,Unfit,"AI Researcher with over 2 years of experience working across various industries. Skilled in NLP, transformers, GPT, BERT, CV, GANs, and also familiar with meta-learning, zero-shot, attention, LLMs. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Developed dashboards to monitor key business KPIs and provided actionable insights. Built and deployed an end-to-end predictive model for retail sales forecasting. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Built and deployed an end-to-end predictive model for retail sales forecasting. Developed dashboards to monitor key business KPIs and provided actionable insights. [SEP] Data Scientist"
"Backend Developer with over 5 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs.",Cloud Engineer,Fit,"Backend Developer with over 5 years of experience working across various industries. Skilled in Node.js, Express, Java, Spring Boot, API development, MySQL, and also familiar with MongoDB, REST, GraphQL, AWS Lambda. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. [SEP] Cloud Engineer"
"Cloud Engineer with over 5 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights. Conducted root cause analysis on system failures and improved uptime by 15%. Performed anomaly detection on large-scale time series IoT sensor data. Automated CI/CD pipelines and ensured zero downtime during production releases. Redesigned user interface for customer portal improving usability by 40%.",Frontend Developer,Unfit,"Cloud Engineer with over 5 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Developed dashboards to monitor key business KPIs and provided actionable insights. Conducted root cause analysis on system failures and improved uptime by 15%. Performed anomaly detection on large-scale time series IoT sensor data. Automated CI/CD pipelines and ensured zero downtime during production releases. Redesigned user interface for customer portal improving usability by 40%. [SEP] Frontend Developer"
"DevOps Engineer with over 8 years of experience working across various industries. Skilled in Jenkins, GitLab CI, Docker, Kubernetes, monitoring, logging, and also familiar with Prometheus, Grafana, automation, Ansible. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Worked on cross-functional teams to integrate machine learning models into production APIs. Trained transformer-based models for text classification achieving 93% accuracy. Designed and implemented a secure network segmentation for financial services client. Designed and implemented a secure network segmentation for financial services client. Designed and implemented a secure network segmentation for financial services client.",AI Researcher,Unfit,"DevOps Engineer with over 8 years of experience working across various industries. Skilled in Jenkins, GitLab CI, Docker, Kubernetes, monitoring, logging, and also familiar with Prometheus, Grafana, automation, Ansible. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Worked on cross-functional teams to integrate machine learning models into production APIs. Trained transformer-based models for text classification achieving 93% accuracy. Designed and implemented a secure network segmentation for financial services client. Designed and implemented a secure network segmentation for financial services client. Designed and implemented a secure network segmentation for financial services client. [SEP] AI Researcher"
"ML Engineer with over 8 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Built and deployed an end-to-end predictive model for retail sales forecasting. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases.",ML Engineer,Fit,"ML Engineer with over 8 years of experience working across various industries. Skilled in TensorFlow, Keras, PyTorch, model optimization, serving, batch prediction, and also familiar with feature engineering, pipeline, airflow, MLFlow. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Designed and implemented a secure network segmentation for financial services client. Built and deployed an end-to-end predictive model for retail sales forecasting. Led a project to migrate on-prem systems to AWS cloud infrastructure. Automated CI/CD pipelines and ensured zero downtime during production releases. [SEP] ML Engineer"
"Cloud Engineer with over 2 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Automated CI/CD pipelines and ensured zero downtime during production releases. Trained transformer-based models for text classification achieving 93% accuracy. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases.",Frontend Developer,Unfit,"Cloud Engineer with over 2 years of experience working across various industries. Skilled in AWS, Azure, GCP, Terraform, CloudFormation, CI/CD, and also familiar with containers, IAM, VPC, cloud security. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Conducted root cause analysis on system failures and improved uptime by 15%. Automated CI/CD pipelines and ensured zero downtime during production releases. Trained transformer-based models for text classification achieving 93% accuracy. Trained transformer-based models for text classification achieving 93% accuracy. Developed dashboards to monitor key business KPIs and provided actionable insights. Automated CI/CD pipelines and ensured zero downtime during production releases. [SEP] Frontend Developer"
"Frontend Developer with over 2 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data.",Business Analyst,Fit,"Frontend Developer with over 2 years of experience working across various industries. Skilled in React, HTML5, CSS3, JavaScript, TypeScript, Redux, and also familiar with Webpack, Figma, UI testing, TailwindCSS. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Led a project to migrate on-prem systems to AWS cloud infrastructure. Redesigned user interface for customer portal improving usability by 40%. Trained transformer-based models for text classification achieving 93% accuracy. Worked on cross-functional teams to integrate machine learning models into production APIs. Developed dashboards to monitor key business KPIs and provided actionable insights. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] Business Analyst"
"Data Analyst with over 4 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights.",ML Engineer,Unfit,"Data Analyst with over 4 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Developed dashboards to monitor key business KPIs and provided actionable insights. Led a project to migrate on-prem systems to AWS cloud infrastructure. Designed and implemented a secure network segmentation for financial services client. Developed dashboards to monitor key business KPIs and provided actionable insights. [SEP] ML Engineer"
"Data Scientist with over 6 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Worked on cross-functional teams to integrate machine learning models into production APIs. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. Trained transformer-based models for text classification achieving 93% accuracy. Performed anomaly detection on large-scale time series IoT sensor data.",Data Analyst,Fit,"Data Scientist with over 6 years of experience working across various industries. Skilled in Python, scikit-learn, XGBoost, Pandas, EDA, model deployment, and also familiar with Docker, Kubernetes, SQL, Snowflake. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Worked on cross-functional teams to integrate machine learning models into production APIs. Redesigned user interface for customer portal improving usability by 40%. Led a project to migrate on-prem systems to AWS cloud infrastructure. Performed anomaly detection on large-scale time series IoT sensor data. Trained transformer-based models for text classification achieving 93% accuracy. Performed anomaly detection on large-scale time series IoT sensor data. [SEP] Data Analyst"
"Data Analyst with over 3 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Redesigned user interface for customer portal improving usability by 40%. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure.",ML Engineer,Unfit,"Data Analyst with over 3 years of experience working across various industries. Skilled in Power BI, Tableau, SQL, Excel, data cleaning, ETL, and also familiar with DAX, dashboard, data storytelling, insights. Strong understanding of domain-specific requirements, communication with stakeholders, and delivering high-quality results. Automated CI/CD pipelines and ensured zero downtime during production releases. Designed and implemented a secure network segmentation for financial services client. Trained transformer-based models for text classification achieving 93% accuracy. Redesigned user interface for customer portal improving usability by 40%. Automated CI/CD pipelines and ensured zero downtime during production releases. Led a project to migrate on-prem systems to AWS cloud infrastructure. [SEP] ML Engineer"
